filial;id_venc;codigo;descricao;lote;qtd_vencendo;dt_vencimento;prc_venda
56;00007371;344432;UNHA KISS IMPRESS BIPAM516BR  ;;0;202607;20;
18;00061557;257378;BISC TRAKINAS CHOCOLATE 126GR ;;19;202608;3;
23;00060563;257378;BISC TRAKINAS CHOCOLATE 126GR ;;24;202608;3;
60;00080291;281519;CHEETOS ONDA REQUEIJAO 90G    ;;4;202607;8;
33;00081049;281519;CHEETOS ONDA REQUEIJAO 90G    ;;4;202607;8;
56;00080535;281519;CHEETOS ONDA REQUEIJAO 90G    ;;6;202607;9;
18;00074140;281485;FANDANGOS QUEIJO 37G          ;;8;202607;3;
51;00080208;281485;FANDANGOS QUEIJO 37G          ;;8;202607;3;
17;00080983;281485;FANDANGOS QUEIJO 37G          ;;2;202608;3;
37;00021174;270231;BISC PIRAQUE SALGADO 138G     ;;10;202607;4;
80;00011429;270272;BISC PIRAQUE LEIT MALT COB 80G;;4;202608;4;
22;00033530;351692;MINI OREO 35G                 ;;8;202608;3;
24;00020153;451195;CHOC LAKA 20G                 ;;5;202607;3;
18;00025544;451195;CHOC LAKA 20G                 ;;1;202607;3;
50;00039170;451195;CHOC LAKA 20G                 ;;5;202607;3;
51;00068732;451195;CHOC LAKA 20G                 ;;10;202607;3;
71;00050136;450841;CHOC LACTA AO LEITE 20GR      ;;1;202608;3;
17;00058259;450841;CHOC LACTA AO LEITE 20GR      ;;14;202608;3;
24;00073727;450841;CHOC LACTA AO LEITE 20GR      ;;26;202608;3;
76;00073859;450841;CHOC LACTA AO LEITE 20GR      ;;6;202608;3;
76;00010927;438630;LENCO C ACIDO SALICILICO 6080 ;;1;202607;6;
35;00015051;384362;BARRA PROTEIN BRIGADEIRO 45G  ;;1;202607;4;
76;00075826;386151;REFRI SPRITE FRESH LIMAO 510ML;;4;202608;3;
11;00036876;416404;CO HASKEL MATCHA ALECRIM300ML ;;0;202607;16;
26;00028499;394759;WAFER PIRAQUE CHOCOLATE 100GR ;;9;202608;3;
73;00030052;394759;WAFER PIRAQUE CHOCOLATE 100GR ;;1;202608;3;
64;00038100;394759;WAFER PIRAQUE CHOCOLATE 100GR ;;1;202608;3;
29;00035716;394759;WAFER PIRAQUE CHOCOLATE 100GR ;;1;202608;3;
10;00042085;394767;WAFER PIRAQUE BRIGADEIRO 100GR;;5;202608;3;
51;00003389;394783;WAFER PIRAQUE MORANGO 100GR   ;;6;202608;3;
56;00006918;394783;WAFER PIRAQUE MORANGO 100GR   ;;6;202608;3;
37;00020987;394783;WAFER PIRAQUE MORANGO 100GR   ;;7;202607;3;
77;00023286;394783;WAFER PIRAQUE MORANGO 100GR   ;;5;202608;3;
74;00034273;394783;WAFER PIRAQUE MORANGO 100GR   ;;8;202608;3;
62;00043660;394783;WAFER PIRAQUE MORANGO 100GR   ;;3;202608;3;
10;00042088;394783;WAFER PIRAQUE MORANGO 100GR   ;;18;202607;3;
79;00047670;394783;WAFER PIRAQUE MORANGO 100GR   ;;3;202608;3;
60;00054470;394783;WAFER PIRAQUE MORANGO 100GR   ;;1;202608;3;
37;00016895;516476;BISC TRAKINAS TUTTI FRUTTI 126;;1;202607;3;
41;00077917;516419;MASC HASKELL ACELERADORA DE FO;;1;202607;20;
11;00057414;457614;RUFFLES CEBOLA E SALSA 76G/68G;;3;202608;7;
